id,name,product_type,criteria_json,modeled_term_months,ticket_strategy,overnight_share,curve_id,priority,notes
td_corp,Corp Time Deposits,deposit,"{""all"":[{""field"":""product"",""op"":""in"",""value"":[""time""]},{""field"":""customer_type"",""op"":""eq"",""value"":""corp""}]}",remaining_term,match_funded,0,ftp_ois_curve,10,Direct match for corp time deposits (match-funded)
nmd_retail_stable,Retail NMD Stable,deposit,"{""all"":[{""field"":""product"",""op"":""in"",""value"":[""demand"",""savings""]},{""field"":""customer_type"",""op"":""eq"",""value"":""retail""},{""field"":""balance"",""op"":""between"",""value"":[0,100000]},{""field"":""stability_segment"",""op"":""eq"",""value"":""stable""}]}",18,ladder,0.1,ftp_ois_curve,20,Stable retail NMD laddered 18m with 10% overnight
nmd_retail_volatile,Retail NMD Volatile,deposit,"{""all"":[{""field"":""product"",""op"":""in"",""value"":[""demand"",""savings""]},{""field"":""customer_type"",""op"":""eq"",""value"":""retail""},{""field"":""stability_segment"",""op"":""eq"",""value"":""volatile""}]}",6,ladder,0.5,ftp_ois_curve,30,Volatile retail NMD laddered 6m with 50% overnight
nmd_sme_mid,SME NMD Mid Balances,deposit,"{""all"":[{""field"":""product"",""op"":""in"",""value"":[""demand"",""savings""]},{""field"":""customer_type"",""op"":""eq"",""value"":""SME""},{""field"":""balance"",""op"":""between"",""value"":[100000,1000000]}]}",12,ladder,0.25,ftp_ois_curve,40,SME NMD laddered 12m with 25% overnight
wholesale_all,Wholesale Funding,wholesale,"{""all"":[{""field"":""product"",""op"":""any"",""value"":[]}]} ",remaining_term,match_funded,0,ftp_ois_curve,90,Catch-all wholesale match-funded
asset_cash,Cash,asset,"{""all"":[{""field"":""category"",""op"":""eq"",""value"":""cash""}]}",remaining_term,ladder,1,ftp_ois_curve,100,Cash treated as overnight/remaining term
asset_security,Securities,asset,"{""all"":[{""field"":""category"",""op"":""eq"",""value"":""security""}]}",remaining_term,match_funded,0,ftp_ois_curve,105,Securities match-funded on remaining term
loan_mortgage,Loans Mortgage,asset,"{""all"":[{""field"":""segment"",""op"":""eq"",""value"":""mortgage""}]}",84,ladder,0,ftp_ois_curve,110,Match-funded mortgages on remaining term
loan_auto,Loans Auto,asset,"{""all"":[{""field"":""segment"",""op"":""eq"",""value"":""auto""}]}",36,ladder,0,ftp_ois_curve,120,Match-funded auto loans on remaining term
loan_consumer,Loans Consumer,asset,"{""all"":[{""field"":""segment"",""op"":""eq"",""value"":""consumer""}]}",remaining_term,match_funded,0,ftp_ois_curve,130,Match-funded consumer loans on remaining term
loan_sme,Loans SME,asset,"{""all"":[{""field"":""segment"",""op"":""eq"",""value"":""SME""}]}",remaining_term,match_funded,0,ftp_ois_curve,140,Match-funded SME loans on remaining term
loan_cre,Loans CRE,asset,"{""all"":[{""field"":""segment"",""op"":""eq"",""value"":""CRE""}]}",remaining_term,match_funded,0,ftp_ois_curve,150,Match-funded CRE loans on remaining term
