accrued_interest,asset_id,book_value,category,classification,coupon_rate,currency,current_rate,duration_years,end_of_period_balance,face_value,fair_value,institution,internal_rating,lgd,maturity_date,npl_flag,origination_date,pd_annualized,principal_outstanding,rate,rate_index,rate_type,rating,segment,spread_bps,type
,C001,549727.44,cash,,,USD,,,549727.44,,549727.44,Fed,,,,,,,,0.00,,,,,,
,C002,421759.75,cash,,,USD,,,421759.75,,421759.75,Fed,,,,,,,,0.00,,,,,,
,C003,473832.44,cash,,,USD,,,473832.44,,473832.44,On-us vault,,,,,,,,0.00,,,,,,
,C004,463039.91,cash,,,USD,,,463039.91,,463039.91,On-us vault,,,,,,,,0.00,,,,,,
,C005,569939.40,cash,,,USD,,,569939.40,,569939.40,Fed,,,,,,,,0.00,,,,,,
,C006,557490.42,cash,,,USD,,,557490.42,,557490.42,On-us vault,,,,,,,,0.00,,,,,,
,C007,602369.61,cash,,,USD,,,602369.61,,602369.61,Fed,,,,,,,,0.00,,,,,,
,C008,434657.84,cash,,,USD,,,434657.84,,434657.84,On-us vault,,,,,,,,0.00,,,,,,
,C009,504426.53,cash,,,USD,,,504426.53,,504426.53,On-us vault,,,,,,,,0.00,,,,,,
,C010,422756.66,cash,,,USD,,,422756.66,,422756.66,On-us vault,,,,,,,,0.00,,,,,,
,S001,525378.36,security,HTM,4.10,USD,,1.87,525378.36,513175.97,520887.64,,,,2026-09-27,,,,,,,,A,,,Agency
,S002,331264.03,security,AFS,1.85,USD,,2.10,331264.03,323475.36,332907.62,,,,2033-08-03,,,,,,,,A,,,Agency
,S003,551892.81,security,HTM,3.99,USD,,6.98,551892.81,536402.32,552677.43,,,,2032-12-03,,,,,,,,BBB,,,Agency
,S004,683593.97,security,AFS,1.36,USD,,3.24,683593.97,703560.34,671532.51,,,,2027-08-11,,,,,,,,AAA,,,UST
,S005,203285.38,security,HTM,2.54,USD,,6.10,203285.38,212861.71,205276.44,,,,2031-08-18,,,,,,,,AAA,,,Corp
,S006,681433.77,security,HTM,3.72,USD,,3.33,681433.77,654963.62,671708.07,,,,2032-05-26,,,,,,,,BBB,,,Agency
,S007,617020.37,security,AFS,1.01,USD,,1.19,617020.37,617494.34,626957.24,,,,2034-06-13,,,,,,,,A,,,Agency
