amount,balance,beta_to_policy_rate,branch_id,category,collateral_type,coupon_rate,currency,customer_type,decay_half_life_days,end_of_period_balance,haircut,issuance_date,issue_date,liability_id,maturity_date,modeled_life_years,nmd_flag,notional,open_date,product,rate,runoff_rate_stress,stability_segment,tier,type
,134884.61,0.38,37,deposit,,,USD,SME,457,-134884.61,,,,D0001,,6.48,1,,2017-12-13,demand,3.47,1.39,stable,,
,223980.62,0.15,34,deposit,,,USD,retail,128,-223980.62,,,,D0002,,1.54,1,,2023-05-09,savings,1.97,4.26,volatile,,
,223146.57,0.00,22,deposit,,,USD,retail,0,-223146.57,,,,D0003,2027-10-30,0.00,0,,2023-07-19,time,1.67,0.00,,,
,177230.89,0.13,5,deposit,,,USD,SME,235,-177230.89,,,,D0004,,5.65,1,,2016-02-26,demand,2.51,12.85,stable,,
,122770.46,0.00,20,deposit,,,USD,SME,0,-122770.46,,,,D0005,2028-03-09,0.00,0,,2024-09-03,time,1.31,0.00,,,
,253458.75,0.00,32,deposit,,,USD,corp,0,-253458.75,,,,D0006,2026-11-07,0.00,0,,2020-11-27,time,1.13,0.00,,,
,248785.34,0.00,40,deposit,,,USD,corp,0,-248785.34,,,,D0007,2026-12-11,0.00,0,,2019-07-04,time,2.27,0.00,,,
,182261.26,0.00,25,deposit,,,USD,retail,0,-182261.26,,,,D0008,2027-03-22,0.00,0,,2019-03-15,time,2.75,0.00,,,
,245317.34,0.45,12,deposit,,,USD,retail,676,-245317.34,,,,D0009,,3.35,1,,2019-06-11,demand,1.07,14.92,stable,,
,235303.52,0.00,32,deposit,,,USD,retail,0,-235303.52,,,,D0010,2027-03-17,0.00,0,,2019-06-19,time,2.11,0.00,,,
,268492.32,0.59,43,deposit,,,USD,corp,261,-268492.32,,,,D0011,,4.82,1,,2016-08-04,demand,0.49,14.48,volatile,,
,191683.71,0.20,47,deposit,,,USD,retail,345,-191683.71,,,,D0012,,5.16,1,,2016-12-24,savings,2.24,5.91,stable,,
,197744.64,0.58,7,deposit,,,USD,SME,513,-197744.64,,,,D0013,,3.96,1,,2019-09-07,savings,0.00,6.30,volatile,,
,214812.33,0.09,22,deposit,,,USD,retail,124,-214812.33,,,,D0014,,2.77,1,,2024-08-19,demand,2.90,5.46,volatile,,
,266963.93,0.35,2,deposit,,,USD,corp,185,-266963.93,,,,D0015,,3.03,1,,2020-05-23,demand,0.60,14.79,stable,,
,263012.75,0.00,4,deposit,,,USD,retail,0,-263012.75,,,,D0016,2026-11-22,0.00,0,,2020-12-08,time,1.51,0.00,,,
,125973.75,0.43,4,deposit,,,USD,retail,643,-125973.75,,,,D0017,,2.59,1,,2023-02-22,demand,0.35,4.94,volatile,,
,285727.55,0.25,31,deposit,,,USD,corp,527,-285727.55,,,,D0018,,1.53,1,,2018-10-18,demand,1.38,12.53,stable,,
,224423.82,0.40,31,deposit,,,USD,SME,173,-224423.82,,,,D0019,,3.84,1,,2017-01-02,demand,0.70,2.62,stable,,
,235773.39,0.15,30,deposit,,,USD,SME,480,-235773.39,,,,D0020,,3.22,1,,2022-11-08,demand,1.71,7.24,volatile,,
,263546.88,0.00,49,deposit,,,USD,retail,0,-263546.88,,,,D0021,2027-06-23,0.00,0,,2025-02-11,time,0.92,0.00,,,
,253654.91,0.49,25,deposit,,,USD,retail,513,-253654.91,,,,D0022,,6.82,1,,2019-08-07,demand,2.44,9.26,volatile,,
,181328.03,0.00,37,deposit,,,USD,SME,0,-181328.03,,,,D0023,2028-04-25,0.00,0,,2018-02-06,time,2.86,0.00,,,
,284996.63,0.27,44,deposit,,,USD,corp,125,-284996.63,,,,D0024,,4.01,1,,2016-10-30,savings,3.09,13.61,stable,,
,258956.31,0.15,28,deposit,,,USD,retail,261,-258956.31,,,,D0025,,6.83,1,,2024-05-23,demand,3.44,12.32,volatile,,
,198956.95,0.51,6,deposit,,,USD,retail,354,-198956.95,,,,D0026,,2.92,1,,2016-10-02,demand,0.27,11.18,stable,,
,167724.42,0.00,34,deposit,,,USD,SME,0,-167724.42,,,,D0027,2028-03-12,0.00,0,,2022-02-24,time,1.36,0.00,,,
,160586.99,0.00,34,deposit,,,USD,corp,0,-160586.99,,,,D0028,2026-01-14,0.00,0,,2018-10-26,time,1.60,0.00,,,
,208515.84,0.13,37,deposit,,,USD,retail,692,-208515.84,,,,D0029,,4.50,1,,2024-09-06,savings,2.74,14.51,stable,,
,132780.50,0.00,27,deposit,,,USD,SME,0,-132780.50,,,,D0030,2027-07-28,0.00,0,,2015-12-08,time,2.73,0.00,,,
,263967.86,0.00,3,deposit,,,USD,SME,0,-263967.86,,,,D0031,2028-09-09,0.00,0,,2018-12-23,time,0.92,0.00,,,
,252314.68,0.07,24,deposit,,,USD,SME,429,-252314.68,,,,D0032,,5.14,1,,2020-06-23,demand,0.60,1.69,volatile,,
,271552.38,0.51,29,deposit,,,USD,corp,190,-271552.38,,,,D0033,,6.83,1,,2022-06-09,savings,0.07,4.19,volatile,,
,247580.34,0.38,48,deposit,,,USD,SME,181,-247580.34,,,,D0034,,2.13,1,,2016-07-26,savings,2.71,3.96,volatile,,
,117395.70,0.33,50,deposit,,,USD,retail,252,-117395.70,,,,D0035,,1.39,1,,2021-04-13,savings,1.70,10.93,stable,,
,222849.73,0.53,24,deposit,,,USD,retail,295,-222849.73,,,,D0036,,6.02,1,,2020-09-08,demand,2.98,4.49,stable,,
,261110.79,0.33,29,deposit,,,USD,corp,216,-261110.79,,,,D0037,,5.09,1,,2020-04-28,savings,2.47,4.39,volatile,,
,112004.92,0.00,23,deposit,,,USD,SME,0,-112004.92,,,,D0038,2028-08-17,0.00,0,,2019-08-16,time,0.62,0.00,,,
,277963.95,0.00,6,deposit,,,USD,corp,0,-277963.95,,,,D0039,2027-06-02,0.00,0,,2016-06-27,time,0.57,0.00,,,
,137758.31,0.52,18,deposit,,,USD,retail,309,-137758.31,,,,D0040,,6.14,1,,2018-03-17,demand,1.00,10.06,stable,,
,192014.94,0.31,17,deposit,,,USD,retail,225,-192014.94,,,,D0041,,4.88,1,,2025-09-17,demand,2.28,9.42,stable,,
,289305.70,0.00,18,deposit,,,USD,corp,0,-289305.70,,,,D0042,2027-09-06,0.00,0,,2017-11-07,time,2.13,0.00,,,
,186795.49,0.19,38,deposit,,,USD,SME,567,-186795.49,,,,D0043,,2.81,1,,2018-10-24,savings,1.48,8.29,volatile,,
,290006.47,0.00,36,deposit,,,USD,SME,0,-290006.47,,,,D0044,2028-11-01,0.00,0,,2016-05-07,time,0.36,0.00,,,
,274324.43,0.31,17,deposit,,,USD,SME,434,-274324.43,,,,D0045,,6.93,1,,2016-02-23,savings,2.27,9.97,stable,,
,269370.21,0.33,26,deposit,,,USD,corp,336,-269370.21,,,,D0046,,6.40,1,,2016-10-22,demand,2.30,12.28,stable,,
,163907.88,0.00,32,deposit,,,USD,corp,0,-163907.88,,,,D0047,2026-10-02,0.00,0,,2025-07-09,time,2.31,0.00,,,
,267966.35,0.26,22,deposit,,,USD,retail,126,-267966.35,,,,D0048,,4.50,1,,2016-08-27,savings,3.49,14.93,volatile,,
,268361.04,0.00,31,deposit,,,USD,corp,0,-268361.04,,,,D0049,2027-03-20,0.00,0,,2019-10-24,time,2.54,0.00,,,
,126009.80,0.00,43,deposit,,,USD,retail,0,-126009.80,,,,D0050,2027-12-24,0.00,0,,2022-06-10,time,3.17,0.00,,,
,174552.56,0.31,22,deposit,,,USD,corp,354,-174552.56,,,,D0051,,5.35,1,,2023-10-03,savings,3.07,8.83,stable,,
,124025.26,0.46,38,deposit,,,USD,SME,404,-124025.26,,,,D0052,,3.52,1,,2021-08-21,savings,2.29,13.42,stable,,
,229815.82,0.53,33,deposit,,,USD,retail,687,-229815.82,,,,D0053,,4.48,1,,2020-07-05,savings,1.03,9.69,stable,,
,226981.06,0.00,4,deposit,,,USD,SME,0,-226981.06,,,,D0054,2028-02-09,0.00,0,,2022-06-17,time,0.42,0.00,,,
,118457.87,0.24,46,deposit,,,USD,SME,673,-118457.87,,,,D0055,,6.36,1,,2024-03-14,demand,3.05,14.81,stable,,
,222745.19,0.40,14,deposit,,,USD,SME,271,-222745.19,,,,D0056,,2.88,1,,2020-09-26,savings,0.63,1.81,volatile,,
,240989.31,0.00,32,deposit,,,USD,retail,0,-240989.31,,,,D0057,2026-11-30,0.00,0,,2017-03-26,time,2.66,0.00,,,
,246304.17,0.40,35,deposit,,,USD,retail,503,-246304.17,,,,D0058,,3.57,1,,2025-10-02,demand,2.75,7.68,volatile,,
,187055.68,0.47,16,deposit,,,USD,corp,633,-187055.68,,,,D0059,,2.14,1,,2018-10-12,demand,0.70,10.47,volatile,,
,125620.72,0.11,20,deposit,,,USD,retail,605,-125620.72,,,,D0060,,4.53,1,,2016-07-26,savings,0.79,3.34,stable,,
,126344.87,0.00,34,deposit,,,USD,corp,0,-126344.87,,,,D0061,2028-07-10,0.00,0,,2019-12-21,time,3.32,0.00,,,
,147833.73,0.25,2,deposit,,,USD,SME,282,-147833.73,,,,D0062,,1.99,1,,2016-09-13,savings,1.18,13.70,volatile,,
,123210.72,0.37,25,deposit,,,USD,retail,263,-123210.72,,,,D0063,,1.74,1,,2016-12-03,demand,0.80,10.96,stable,,
,216943.08,0.00,39,deposit,,,USD,retail,0,-216943.08,,,,D0064,2027-05-27,0.00,0,,2018-10-26,time,3.07,0.00,,,
,203451.33,0.00,4,deposit,,,USD,retail,0,-203451.33,,,,D0065,2026-07-29,0.00,0,,2016-06-06,time,3.48,0.00,,,
,189933.75,0.12,41,deposit,,,USD,corp,348,-189933.75,,,,D0066,,3.85,1,,2018-01-04,savings,2.41,3.14,volatile,,
,110511.21,0.00,34,deposit,,,USD,corp,0,-110511.21,,,,D0067,2028-04-29,0.00,0,,2024-09-03,time,0.03,0.00,,,
,171488.14,0.33,39,deposit,,,USD,retail,210,-171488.14,,,,D0068,,2.70,1,,2020-03-23,savings,0.94,11.99,stable,,
,130962.99,0.00,46,deposit,,,USD,SME,0,-130962.99,,,,D0069,2027-06-11,0.00,0,,2023-07-18,time,0.70,0.00,,,
,265406.85,0.55,8,deposit,,,USD,retail,582,-265406.85,,,,D0070,,2.98,1,,2018-04-10,demand,1.43,1.04,volatile,,
,235181.28,0.48,15,deposit,,,USD,corp,166,-235181.28,,,,D0071,,5.34,1,,2022-12-08,demand,2.92,2.42,stable,,
,195864.64,0.08,21,deposit,,,USD,corp,268,-195864.64,,,,D0072,,6.24,1,,2021-10-07,savings,1.60,12.93,volatile,,
,150655.42,0.06,40,deposit,,,USD,SME,231,-150655.42,,,,D0073,,4.98,1,,2021-10-18,demand,1.49,3.39,stable,,
,125281.20,0.15,45,deposit,,,USD,SME,500,-125281.20,,,,D0074,,3.40,1,,2016-06-07,savings,0.94,7.39,volatile,,
,255523.03,0.00,8,deposit,,,USD,retail,0,-255523.03,,,,D0075,2028-05-01,0.00,0,,2016-11-13,time,2.98,0.00,,,
,127802.06,0.28,40,deposit,,,USD,retail,694,-127802.06,,,,D0076,,3.90,1,,2020-11-22,demand,0.46,8.97,stable,,
,175847.71,0.00,47,deposit,,,USD,corp,0,-175847.71,,,,D0077,2027-12-24,0.00,0,,2025-06-25,time,1.33,0.00,,,
,163433.50,0.11,1,deposit,,,USD,SME,511,-163433.50,,,,D0078,,3.64,1,,2018-06-18,savings,3.41,1.89,volatile,,
,178602.82,0.00,34,deposit,,,USD,SME,0,-178602.82,,,,D0079,2027-03-23,0.00,0,,2016-01-06,time,2.47,0.00,,,
,256869.94,0.32,1,deposit,,,USD,retail,484,-256869.94,,,,D0080,,1.89,1,,2018-12-07,savings,1.83,12.57,stable,,
,267979.79,0.00,32,deposit,,,USD,SME,0,-267979.79,,,,D0081,2026-11-06,0.00,0,,2016-04-15,time,2.25,0.00,,,
,225647.96,0.18,26,deposit,,,USD,SME,374,-225647.96,,,,D0082,,1.30,1,,2018-08-04,savings,3.04,4.12,volatile,,
,232110.92,0.49,32,deposit,,,USD,retail,548,-232110.92,,,,D0083,,1.53,1,,2022-04-06,savings,2.86,7.98,volatile,,
,121479.23,0.28,40,deposit,,,USD,corp,660,-121479.23,,,,D0084,,4.29,1,,2016-12-04,demand,2.61,12.56,volatile,,
,211420.21,0.00,43,deposit,,,USD,corp,0,-211420.21,,,,D0085,2028-10-26,0.00,0,,2023-06-27,time,2.23,0.00,,,
,219967.24,0.50,46,deposit,,,USD,SME,555,-219967.24,,,,D0086,,2.99,1,,2019-01-29,savings,1.60,11.74,stable,,
,138872.95,0.47,36,deposit,,,USD,SME,317,-138872.95,,,,D0087,,1.01,1,,2018-09-13,demand,2.30,5.97,stable,,
,172871.86,0.32,26,deposit,,,USD,retail,509,-172871.86,,,,D0088,,1.64,1,,2023-09-14,demand,1.83,9.55,stable,,
,147767.26,0.00,49,deposit,,,USD,retail,0,-147767.26,,,,D0089,2027-01-14,0.00,0,,2022-01-06,time,0.75,0.00,,,
,245038.63,0.41,4,deposit,,,USD,corp,606,-245038.63,,,,D0090,,1.81,1,,2019-11-10,savings,1.45,7.98,volatile,,
