as_of_date,instrument_id,side,category,product_type,segment_id,bucket_type,tenor_days,weight,ticket_balance,ftp_rate_pct,position_rate_pct,ftp_spread_pct,ftp_charge
2025-11-21,S001,asset,security,asset,asset_security,match_funded,310,1.0,525378.36,4.7194,4.1,0.6194,2802.42
2025-11-21,S002,asset,security,asset,asset_security,match_funded,2812,1.0,331264.03,3.55,1.85,1.7,43988.18
2025-11-21,S003,asset,security,asset,asset_security,match_funded,2569,1.0,551892.81,3.55,3.99,-0.44,-17328.82
2025-11-21,S004,asset,security,asset,asset_security,match_funded,628,1.0,683593.97,4.4267,1.36,3.0667,36569.75
2025-11-21,S005,asset,security,asset,asset_security,match_funded,2096,1.0,203285.38,3.6678,2.54,1.1278,13348.07
2025-11-21,S006,asset,security,asset,asset_security,match_funded,2378,1.0,681433.77,3.5894,3.72,-0.1306,-5876.63
2025-11-21,S007,asset,security,asset,asset_security,match_funded,3126,1.0,617020.37,3.55,1.01,2.54,136087.96
2025-11-21,S008,asset,security,asset,asset_security,match_funded,993,1.0,402933.54,4.1604,4.37,-0.2096,-2329.36
2025-11-21,S009,asset,security,asset,asset_security,match_funded,637,1.0,292404.7,4.4192,3.4,1.0192,5273.11
2025-11-21,S010,asset,security,asset,asset_security,match_funded,462,1.0,771996.58,4.565,1.34,3.225,31951.01
2025-11-21,S011,asset,security,asset,asset_security,match_funded,1912,1.0,400746.56,3.7189,2.06,1.6589,35307.95
2025-11-21,S012,asset,security,asset,asset_security,match_funded,674,1.0,254877.83,4.3883,2.75,1.6383,7817.93
2025-11-21,S013,asset,security,asset,asset_security,match_funded,3078,1.0,257252.98,3.55,3.35,0.2,4399.03
2025-11-21,S014,asset,security,asset,asset_security,match_funded,2919,1.0,706363.55,3.55,1.28,2.27,130012.69
2025-11-21,S015,asset,security,asset,asset_security,match_funded,1846,1.0,560542.9,3.7372,1.97,1.7672,50795.97
2025-11-21,S016,asset,security,asset,asset_security,match_funded,400,1.0,682216.81,4.6167,2.64,1.9767,14983.5
2025-11-21,S017,asset,security,asset,asset_security,match_funded,2016,1.0,635918.73,3.69,1.99,1.7,60539.46
2025-11-21,S018,asset,security,asset,asset_security,match_funded,2433,1.0,520166.06,3.5742,2.77,0.8042,28270.12
2025-11-21,S019,asset,security,asset,asset_security,match_funded,1147,1.0,781509.47,4.0628,4.88,-0.8172,-20348.64
2025-11-21,S020,asset,security,asset,asset_security,match_funded,187,1.0,425834.7,4.8903,4.61,0.2803,619.97
2025-11-21,S021,asset,security,asset,asset_security,match_funded,3387,1.0,529625.02,3.55,2.69,0.86,42852.84
2025-11-21,S022,asset,security,asset,asset_security,match_funded,3242,1.0,695542.41,3.55,3.32,0.23,14406.62
2025-11-21,S023,asset,security,asset,asset_security,match_funded,940,1.0,569392.41,4.1972,1.23,2.9672,44115.08
2025-11-21,S024,asset,security,asset,asset_security,match_funded,2550,1.0,714865.4,3.55,4.77,-1.22,-61776.28
2025-11-21,S025,asset,security,asset,asset_security,match_funded,3112,1.0,544766.21,3.55,4.74,-1.19,-56039.49
2025-11-21,S026,asset,security,asset,asset_security,match_funded,476,1.0,620868.21,4.5533,2.83,1.7233,14147.29
2025-11-21,S027,asset,security,asset,asset_security,match_funded,1265,1.0,226809.71,3.9972,1.29,2.7072,21576.13
2025-11-21,S028,asset,security,asset,asset_security,match_funded,2404,1.0,335725.15,3.5822,2.14,1.4422,32333.15
2025-11-21,S029,asset,security,asset,asset_security,match_funded,2896,1.0,372507.88,3.55,3.67,-0.12,-3595.94
2025-11-21,S030,asset,security,asset,asset_security,match_funded,3118,1.0,247128.91,3.55,2.09,1.46,31250.0
2025-11-21,S031,asset,security,asset,asset_security,match_funded,387,1.0,338651.88,4.6275,2.0,2.6275,9565.43
2025-11-21,S032,asset,security,asset,asset_security,match_funded,1251,1.0,259816.27,4.005,4.08,-0.075,-677.15
2025-11-21,S033,asset,security,asset,asset_security,match_funded,3009,1.0,365679.89,3.55,1.45,2.1,64185.96
2025-11-21,S034,asset,security,asset,asset_security,match_funded,1672,1.0,579660.22,3.8033,2.72,1.0833,29165.5
2025-11-21,S035,asset,security,asset,asset_security,match_funded,1843,1.0,417638.13,3.7381,2.41,1.3281,28394.83
2025-11-21,S036,asset,security,asset,asset_security,match_funded,1867,1.0,420837.74,3.7314,4.9,-1.1686,-25505.07
2025-11-21,S037,asset,security,asset,asset_security,match_funded,3499,1.0,324723.62,3.55,4.21,-0.66,-20830.48
2025-11-21,S038,asset,security,asset,asset_security,match_funded,1090,1.0,359102.28,4.0944,4.49,-0.3956,-4300.8
2025-11-21,S039,asset,security,asset,asset_security,match_funded,1811,1.0,759698.62,3.7469,1.89,1.8569,70966.96
2025-11-21,S040,asset,security,asset,asset_security,match_funded,2962,1.0,587048.47,3.55,2.4,1.15,55546.2
2025-11-21,S041,asset,security,asset,asset_security,match_funded,1266,1.0,563776.12,3.9967,1.71,2.2867,45335.74
2025-11-21,S042,asset,security,asset,asset_security,match_funded,652,1.0,301771.9,4.4067,2.75,1.6567,9054.39
2025-11-21,S043,asset,security,asset,asset_security,match_funded,2992,1.0,635556.83,3.55,3.08,0.47,24826.26
2025-11-21,S044,asset,security,asset,asset_security,match_funded,689,1.0,297144.18,4.3758,3.49,0.8858,5037.74
2025-11-21,S045,asset,security,asset,asset_security,match_funded,700,1.0,426385.67,4.3667,2.61,1.7567,14564.23
